/*Tiempo de exposicion:	0.24	0.3	0.42	0.6	0.9	1.2	1.5	1.8	2.1	2.4	3	4.2	6	9	12	15	18
/*Numero de Scans	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
/*Scans Ignorados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/*Modo de Adquiquisicion	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
/*Temperatura del detector	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
/*Posicion del Contador	000	000	000	000	000	000	000	000	000	000	000	000	000	000	000	000	000
/*Archivo:	barridoP_0050.OMAIII	barridoP_0051.OMAIII	barridoP_0052.OMAIII	barridoP_0053.OMAIII	barridoP_0054.OMAIII	barridoP_0055.OMAIII	barridoP_0056.OMAIII	barridoP_0057.OMAIII	barridoP_0058.OMAIII	barridoP_0059.OMAIII	barridoP_0060.OMAIII	barridoP_0061.OMAIII	barridoP_0062.OMAIII	barridoP_0063.OMAIII	barridoP_0064.OMAIII	barridoP_0065.OMAIII	barridoP_0066.OMAIII
118	77.0	81.0	89.0	98.0	116.0	135.0	153.0	170.0	189.0	206.0	241.0	314.0	421.0	597.0	773.0	946.0	1119.0
119	76.0	80.0	87.0	97.0	117.0	134.0	157.0	174.0	193.0	212.0	249.0	326.0	427.0	608.0	787.0	964.0	1139.0
120	95.0	100.0	109.0	122.0	147.0	168.0	191.0	214.0	236.0	260.0	306.0	396.0	529.0	754.0	975.0	1193.0	1412.0
121	102.0	106.0	113.0	124.0	143.0	160.0	178.0	196.0	214.0	232.0	269.0	339.0	447.0	624.0	798.0	974.0	1146.0
122	77.0	80.0	88.0	97.0	117.0	134.0	152.0	171.0	187.0	207.0	243.0	314.0	421.0	598.0	775.0	948.0	1121.0
123	87.0	90.0	99.0	109.0	128.0	148.0	166.0	184.0	203.0	222.0	260.0	335.0	446.0	629.0	813.0	994.0	1174.0
124	88.0	93.0	99.0	110.0	128.0	145.0	163.0	182.0	199.0	217.0	254.0	326.0	433.0	609.0	786.0	959.0	1132.0
125	99.0	103.0	111.0	121.0	139.0	159.0	176.0	194.0	212.0	232.0	268.0	341.0	450.0	630.0	809.0	988.0	1163.0
126	80.0	84.0	91.0	101.0	119.0	137.0	155.0	174.0	191.0	209.0	244.0	316.0	422.0	597.0	773.0	946.0	1116.0
127	80.0	85.0	93.0	104.0	124.0	144.0	163.0	183.0	202.0	222.0	261.0	339.0	455.0	646.0	837.0	1025.0	1211.0
128	91.0	94.0	103.0	112.0	131.0	149.0	167.0	186.0	203.0	222.0	259.0	330.0	438.0	617.0	793.0	970.0	1145.0
129	90.0	94.0	101.0	111.0	130.0	149.0	166.0	184.0	202.0	220.0	256.0	329.0	435.0	612.0	786.0	963.0	1135.0
130	75.0	79.0	86.0	96.0	115.0	133.0	151.0	170.0	187.0	205.0	241.0	313.0	420.0	598.0	773.0	948.0	1121.0
131	82.0	86.0	93.0	105.0	124.0	143.0	163.0	182.0	201.0	220.0	258.0	335.0	449.0	638.0	826.0	1011.0	1195.0
132	91.0	96.0	102.0	114.0	132.0	150.0	168.0	186.0	205.0	223.0	261.0	333.0	440.0	620.0	798.0	974.0	1149.0
133	96.0	99.0	107.0	118.0	136.0	154.0	172.0	190.0	207.0	226.0	262.0	333.0	440.0	616.0	792.0	966.0	1141.0
134	78.0	81.0	89.0	101.0	118.0	136.0	154.0	172.0	190.0	208.0	244.0	315.0	422.0	600.0	775.0	949.0	1122.0
135	86.0	90.0	97.0	107.0	126.0	143.0	161.0	179.0	196.0	214.0	250.0	321.0	428.0	601.0	776.0	947.0	1119.0
136	91.0	93.0	101.0	112.0	130.0	149.0	167.0	185.0	203.0	221.0	257.0	330.0	438.0	616.0	793.0	969.0	1142.0
137	90.0	95.0	104.0	115.0	136.0	157.0	177.0	199.0	219.0	240.0	282.0	365.0	489.0	692.0	895.0	1096.0	1294.0
138	76.0	80.0	87.0	100.0	119.0	138.0	158.0	178.0	197.0	217.0	256.0	334.0	450.0	641.0	833.0	1022.0	1208.0
139	80.0	83.0	91.0	102.0	120.0	139.0	156.0	175.0	193.0	211.0	248.0	320.0	427.0	607.0	783.0	957.0	1131.0
140	95.0	100.0	106.0	118.0	137.0	156.0	174.0	192.0	212.0	230.0	268.0	342.0	452.0	636.0	819.0	1000.0	1178.0
141	88.0	91.0	100.0	113.0	133.0	153.0	173.0	193.0	213.0	235.0	274.0	356.0	476.0	676.0	874.0	1071.0	1266.0
142	83.0	88.0	98.0	114.0	141.0	167.0	194.0	220.0	246.0	273.0	326.0	432.0	589.0	848.0	1102.0	1358.0	1607.0
143	76.0	80.0	87.0	97.0	114.0	133.0	151.0	169.0	186.0	205.0	240.0	310.0	416.0	591.0	766.0	936.0	1105.0
144	90.0	95.0	103.0	114.0	134.0	154.0	173.0	193.0	212.0	231.0	271.0	349.0	465.0	657.0	848.0	1037.0	1225.0
145	88.0	92.0	101.0	111.0	131.0	148.0	167.0	185.0	204.0	223.0	261.0	334.0	446.0	627.0	810.0	990.0	1169.0
146	77.0	81.0	87.0	101.0	115.0	135.0	153.0	170.0	189.0	206.0	242.0	313.0	419.0	596.0	770.0	943.0	1116.0
147	82.0	85.0	92.0	104.0	122.0	140.0	158.0	177.0	196.0	213.0	249.0	324.0	430.0	612.0	789.0	967.0	1141.0
148	93.0	97.0	103.0	115.0	132.0	150.0	168.0	185.0	203.0	221.0	256.0	326.0	430.0	604.0	775.0	946.0	1115.0
149	86.0	88.0	96.0	108.0	126.0	145.0	162.0	181.0	198.0	215.0	253.0	326.0	434.0	614.0	791.0	969.0	1143.0
150	80.0	83.0	90.0	102.0	122.0	140.0	160.0	179.0	197.0	217.0	256.0	332.0	446.0	633.0	821.0	1005.0	1189.0
151	79.0	83.0	90.0	101.0	118.0	137.0	154.0	172.0	191.0	209.0	244.0	316.0	422.0	596.0	772.0	945.0	1118.0
152	91.0	94.0	101.0	111.0	131.0	150.0	169.0	187.0	206.0	224.0	262.0	335.0	446.0	628.0	810.0	990.0	1167.0
153	88.0	91.0	98.0	110.0	128.0	147.0	165.0	183.0	202.0	220.0	257.0	330.0	439.0	620.0	800.0	976.0	1154.0
154	80.0	85.0	93.0	106.0	128.0	150.0	171.0	194.0	215.0	237.0	280.0	368.0	495.0	708.0	919.0	1128.0	1335.0
155	83.0	85.0	93.0	104.0	122.0	140.0	157.0	175.0	191.0	210.0	244.0	316.0	419.0	593.0	765.0	935.0	1103.0
156	91.0	94.0	101.0	111.0	130.0	148.0	165.0	182.0	200.0	216.0	252.0	322.0	427.0	600.0	772.0	942.0	1111.0
157	86.0	90.0	97.0	108.0	127.0	145.0	165.0	182.0	202.0	220.0	257.0	331.0	443.0	626.0	809.0	990.0	1167.0
158	76.0	78.0	86.0	96.0	114.0	132.0	149.0	166.0	184.0	202.0	237.0	308.0	412.0	586.0	758.0	929.0	1099.0
159	80.0	83.0	91.0	102.0	121.0	139.0	159.0	178.0	196.0	214.0	250.0	327.0	437.0	620.0	803.0	983.0	1161.0
160	92.0	96.0	102.0	113.0	131.0	148.0	166.0	184.0	200.0	219.0	253.0	324.0	428.0	601.0	773.0	942.0	1110.0
161	87.0	89.0	97.0	107.0	125.0	144.0	162.0	180.0	197.0	216.0	251.0	322.0	429.0	605.0	781.0	954.0	1125.0
