%Comentarios:
%Largo de la muestra: 13.65
%Ancho de la muestra: 4.3
%Espesor de la muestra: 0.45
%Dispositivos y canales utilizados: 
%	 Temperatura de la superior: USB TEMP AI
%		Canal: 1
%	 Temperatura de la muestra: USB TEMP AI
%		 Canal: 0
%	 Temperatura inferior: USB TEMP AI
%		 Canal: 2
%	 Extensometro: USB TEMP AI
%		 Canal: 3
%	 Celda de carga: USB TEMP AI
%		 Canal: 1
%
% Datos por segundo: 1
%
%Tiempo 	 Temperarura inferior 	 Temperatura de la muestra 	 Temperatura superior 	 Extensometro 	 Celda de carga 
%
137.638000011	20.430015564	19.8109302521	19.8396949768	-0.74801325798	18.1384217739
138.676000118	20.4291152954	19.7942714691	19.8406448364	-0.74811258316	18.0758309364
139.717000008	20.4393348694	19.8212013245	19.8731136322	-0.74801363945	18.1369507313
140.758000135	20.4708576202	19.8768424988	19.8953819275	-0.748121500015	18.0851328373
141.794000149	20.4921894073	19.8555202484	19.8907489777	-0.748033428192	18.1133127213
142.835000038	20.4829235077	19.854593277	19.8814754486	-0.748087406158	18.1185817719
143.875	20.4903373718	19.8490333557	19.8805503845	-0.748082876205	18.086425066
144.911000013	20.488483429	19.86759758	19.8991146088	-0.748055696487	18.1359553337
145.947000027	20.4903564453	19.8685474396	19.9260215759	-0.748119020462	18.0793559551
146.987999916	20.5497055054	19.9084300995	19.9288272858	-0.748047161102	18.124152422
148.029000044	20.547870636	19.9038162231	19.947385788	-0.74812412262	18.0968463421
149.071000099	20.5487976074	19.9214286804	19.941822052	-0.748043727875	18.1010365486
150.111999989	20.5525016785	19.8945484161	19.947385788	-0.748104190826	18.1160879135
151.154000044	20.5469455719	19.9103031158	19.951089859	-0.748059415817	18.0909657478
152.196000099	20.5580615997	19.9075260162	19.9538707733	-0.748091840744	18.1172072887
153.233999968	20.547870636	19.9075260162	19.9622135162	-0.748087835312	18.094984293
154.273999929	20.5487976074	19.9103031158	19.935333252	-0.748055839539	18.1116843224
155.315999985	20.5487976074	19.9149398804	19.9529457092	-0.748102140427	18.1029593945
156.357000113	20.5645465851	19.908449173	19.9362602234	-0.748073816299	18.1075966358
157.398000002	20.5487976074	19.8973293304	19.9288463593	-0.748072862625	18.1026780605
158.434000015	20.5469455719	19.9056720734	19.9408950806	-0.748059940338	18.104224205
159.470000029	20.5348987579	19.9334774017	19.941822052	-0.748093318939	18.1092393398
160.506000042	20.5450935364	19.9186477661	19.932554245	-0.748055124283	18.0933976173
161.542000055	20.5376777649	19.9149398804	19.9557285309	-0.748105144501	18.12240839
162.578000069	20.5497245789	19.9214286804	19.9399681091	-0.748030138016	18.079726696
163.614000082	20.5506496429	19.9344062805	19.9483108521	-0.748090600967	18.1250798702
164.651000023	20.5367527008	19.8862056732	19.9408950806	-0.748057603836	18.0923807621
165.694000006	20.5256156921	19.8926753998	19.9316043854	-0.7480427742	18.0894398689
166.730000019	20.5330276489	19.888967514	19.9213848114	-0.748103237152	18.1330215931
167.771000147	20.5209579468	19.8676204681	19.8898429871	-0.74798784256	18.0680000782
168.805000067	20.5098171234	19.8536891937	19.8916969299	-0.748118066788	18.130171299
169.84100008	20.5005493164	19.8573989868	19.888917923	-0.748029327393	18.0904436111
170.875999928	20.486656189	19.8611049652	19.8898429871	-0.748082637787	18.0996417999
171.913000107	20.5190811157	19.8759384155	19.8907699585	-0.748060894012	18.1142807007
172.94900012	20.5051822662	19.86759758	19.8907699585	-0.748042917252	18.0818009377
173.985000134	20.486656189	19.8564491272	19.8796234131	-0.748095798492	18.1270313263
175.021000147	20.4875564575	19.8221282959	19.8601360321	-0.748018074036	18.0824053288
176.056999922	20.4727115631	19.8202514648	19.8369369507	-0.748105573654	18.1076931953
177.092999935	20.4495239258	19.8221054077	19.8499164581	-0.748058176041	18.1081604958
178.128999949	20.4597167969	19.8007621765	19.8230056763	-0.74807972908	18.0878126621
179.164999962	20.4356002808	19.8202514648	19.8526992798	-0.748073148727	18.1139791012
180.202000141	20.4587917328	19.8323020935	19.8378696442	-0.7480427742	18.0983090401
181.239000082	20.4365310669	19.8016872406	19.8063201904	-0.7480427742	18.1108117104
182.276000023	20.409658432	19.8091011047	19.8443279266	-0.748055124283	18.0912399292
183.309999943	20.4216785431	19.7960987091	19.8239097595	-0.748065471649	18.1268179417
184.345000029	20.4448432922	19.7886867523	19.8211288452	-0.748028898239	18.0887532234
185.378999949	20.423532486	19.7951717377	19.7979564667	-0.748088121414	18.1041073799
186.414000034	20.442987442	19.8081512451	19.8201999664	-0.748022460938	18.1103992462
187.450000048	20.4253845215	19.8415222168	19.8257656097	-0.748087978363	18.1233143806
188.486000061	20.4179725647	19.8331775665	19.8229827881	-0.748032617569	18.1056940556
189.523000002	20.4244594574	19.8201999664	19.8387413025	-0.748076581955	18.1062233448
190.559000015	20.4161205292	19.7905368805	19.8211288452	-0.748082733154	18.1217622757
191.595000029	20.411485672	19.816493988	19.8183498383	-0.74805021286	18.0880045891
192.631000042	20.4244594574	19.7988815308	19.8220558167	-0.748091697693	18.1199419498
193.667999983	20.4290904999	19.8053665161	19.819272995	-0.748041009903	18.0890011787
194.704999924	20.4207515717	19.7970256805	19.8100032806	-0.748075866699	18.1081604958
195.742000103	20.4541072845	19.8146400452	19.816493988	-0.748043584824	18.1010091305
196.779999971	20.409658432	19.8220825195	19.8406200409	-0.748088121414	18.0988168716
197.817000151	20.4337730408	19.8462085724	19.8573322296	-0.748063802719	18.1116640568
198.851999998	20.4384078979	19.8795795441	19.8517684937	-0.748072338104	18.0943524837
199.885999918	20.4764137268	19.8823833466	19.8545703888	-0.748074388504	18.1156003475
200.921000004	20.4662227631	19.8749675751	19.8768234253	-0.748074913025	18.0975532532
201.95600009	20.4727115631	19.8527202606	19.856426239	-0.748073816299	18.1139993668
202.992000103	20.4829235077	19.8583011627	19.8861122131	-0.748074913025	18.1031382084
204.028000116	20.4773654938	19.8462524414	19.8824291229	-0.748075866699	18.1070196629
205.06400013	20.4986953735	19.8666687012	19.9130401611	-0.748074388504	18.1033718586
206.100000143	20.5144710541	19.8704032898	19.934387207	-0.748071908951	18.1029391289
207.137000084	20.533952713	19.9056529999	19.9408950806	-0.748072195053	18.1052064896
208.173000097	20.5534286499	19.9001102448	19.9381122589	-0.74807343483	18.1067180634
209.209000111	20.5367527008	19.9038162231	19.9492378235	-0.748072338104	18.0986940861
210.246000051	20.5543556213	19.9158687592	19.9612884521	-0.748075342178	18.103826046
211.28399992	20.5497245789	19.889913559	19.9529457092	-0.748045921326	18.1123709679
212.321000099	20.5543556213	19.9269886017	19.9362602234	-0.748075199127	18.0986523628
213.35800004	20.5404586792	19.9205036163	19.9547996521	-0.748060083389	18.1116771698
214.39199996	20.5432376862	19.9269886017	19.9687023163	-0.748024082184	18.1299984455
215.424999952	20.5506496429	19.9353542328	19.9557476044	-0.748060369492	18.1005001068
216.459000111	20.5349197388	19.9233036041	19.9696502686	-0.748090982437	18.0938088894
217.493999958	20.543258667	19.9372081757	19.9733600616	-0.748027515411	18.1223392487
218.529999971	20.5506725311	19.9335002899	19.9770679474	-0.748104333878	18.0884718895
219.565999985	20.5460166931	19.9316234589	19.935333252	-0.748044586182	18.1187391281
220.601999998	20.5404815674	19.9483337402	19.9705791473	-0.748068618774	18.0952858925
221.638000011	20.5655212402	19.9548492432	19.9891452789	-0.748061609268	18.106367588
222.674000025	20.5627441406	19.974313736	19.9845104218	-0.748059940338	18.1081461906
223.710999966	20.5590381622	19.9576301575	19.9789505005	-0.748075485229	18.1026101112
224.749000072	20.5395565033	19.9566726685	19.967798233	-0.748082637787	18.0882930756
225.785000086	20.5237846375	19.9279174805	19.965921402	-0.74804649353	18.1157100201
%
%
